source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,abs_mag_g
1855383575035393408,320.8926554806182,34.79102480991223,10.023256623734808,15.81029,2.8715477,17.237787,14.36624,10.815334584948399
4086241269934568576,282.330610146258,-19.233251984967307,10.023272125274802,19.145075,1.2903137,19.2284,17.938086,14.150122451003622
4083777401808815360,288.20473895839547,-19.57146828944199,10.02327602250898,19.556192,1.9921799,19.901325,17.909145,14.561240849023157
4287180077914891264,280.53623194229544,8.331057826986568,10.023278681033583,20.04744,1.2025642,20.1187,18.916136,15.052488602097803
34803704843305088,46.66374278017273,17.470272727706707,10.023280480646678,14.821638,2.4915924,16.165756,13.674164,9.826687524075703
4124293610718493824,263.11334825450217,-17.198542146025957,10.023285437451422,19.472826,1.3346272,19.814598,18.47997,14.477876494660439
4043650209585670400,268.7529976030381,-31.668092769871542,10.023288930865112,19.605913,1.7884731,20.149654,18.361181,14.610964409686282
2380100695954536960,348.2678248073306,-25.338603781539838,10.023292536235925,16.812181,3.008772,18.553352,15.54458,11.817233501310294
2139973880504280320,291.8007865536516,54.45052041683331,10.023294007962292,17.219456,3.0785017,19.033289,15.954787,12.224508066364756
3535070762524303232,170.88159539532006,-23.605193708767906,10.023298698205265,20.903095,1.0665436,20.881315,19.814772,15.908148608838108
3197399501703066752,61.0017768190135,-5.7006331224160744,10.023299310381619,19.864672,1.0354404,20.273304,19.237864,14.869725203253505
2468411820630604032,17.007122875752632,-12.842144748336745,10.023300836989469,16.032274,2.647788,17.50179,14.854001,11.03732807304409
4018616425727361152,173.64310951213605,27.83793342772556,10.023316301548835,14.120087,2.2334824,15.286585,13.0531025,9.125143847027527
6200398342523895552,226.60991440680664,-36.218065720913664,10.023320877462686,14.576762,2.0247202,15.375494,13.350774,9.58182036784292
6047978508772541568,251.28680369608688,-23.18263750518635,10.023321877588995,14.122781,1.9137392,14.836029,12.92229,9.127839184976153
3613918729920226432,207.59184572876276,-10.676840501752984,10.02333623482448,18.460663,3.8293495,20.865284,17.035934,13.46572433728516
4046291236543883136,274.37872850452175,-31.498123872350067,10.02333757674276,19.807775,0.91719437,19.59001,18.672815,14.81283728364022
5979960898500157056,256.49038631503254,-33.07074303551932,10.02333760370198,20.353924,1.471426,21.20278,19.731354,15.35898558965161
2718377336709503616,343.02899125651135,11.299828508710373,10.023357961412628,14.875241,2.345316,16.116514,13.771198,9.88030748196981
